match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty,Season 
2015149,Ibrahim El Kadi,,Home,,Unknown,,2015-2016
2015150,Mohamed Hashem,,Away,,Unknown,,2015-2016
2015150,Hossam Paulo,,Home,Omar Saad,Cross,,2015-2016
2015150,Hany El Egeizy,,Home,,Unknown,,2015-2016
2015150,Mohamed Rizk,,Away,,Unknown,,2015-2016
2015151,Nana Poku,,Away,Mido Gaber,Free kick,,2015-2016
2015151,Ahmed Sherwyda,,Home,Mohamed Nasef,Cross,,2015-2016
2015152,Malick Evouna,,Home,Hossam Ashour,Pass,,2015-2016
2015152,Amr Gamal,,Home,Ramadan Sobhi,Pass,,2015-2016
2015153,Ibrahim El Kadi,,Home,Ahmed Abdelaziz,Free kick,,2015-2016
2015154,Mahmoud Kaoud,,Away,Mario Martínez,Cross,,2015-2016
2015155,Gedo,,Home,Ali Fathi,Cross,,2015-2016
2015155,Gedo,,Home,Ernest Papa Arko,Cross,,2015-2016
2015155,Gedo,,Home,Salah Amin,Penalty,1,2015-2016
2015156,Mohamed Fadl,,Home,Fathi Mabrouk,Cross,,2015-2016
2015156,Cyrille Bayala,,Away,,Unknown,,2015-2016
2015156,Mohamed Fadl,,Home,Omar Gamal,Cross,,2015-2016
2015156,Onosh,,Home,Omar Gamal,Pass,,2015-2016
2015157,Mohamed Hamdi,,Home,Amr El Monoufy,Pass,,2015-2016
2015157,Hossam Paulo,,Home,Amr El Monoufy,Penalty,1,2015-2016
2015157,Youssef Hassan,,Away,Mohamed Yehia,Pass,,2015-2016
2015157,Mohamed Yehia,,Away,Khaled Abdelrazek,Pass,,2015-2016
2015157,Mahmoud Ezzat,,Home,Ahmed Shokry,Corner,,2015-2016
2015157,Mohamed Hamdi,,Home,,Unknown,,2015-2016
2015160,Mahmoud Alaa,,Home,Florent Malouda,Corner,,2015-2016
2015160,Basem Morsy,,Away,,Unknown,,2015-2016
2015162,Mohamed Farouk,,Away,,Unknown,,2015-2016
2015162,Ernest Papa Arko,,Away,Mohamed Farouk,Pass,,2015-2016
2015162,Karim Munch,,Home,Ahmed Elalfi,Cross,,2015-2016
2015163,Marwan Mohsen,,Home,Hosny Abd Rabo,Penalty,1,2015-2016
2015164,Amr Marei,,Home,Amr Marei,Penalty,1,2015-2016
2015164,Abdelaziz Mousa,,Home,Asem Said,Pass,,2015-2016
2015165,Mohamed Ragab,,Home,Shemeles Bekele,Unknown,,2015-2016
2015165,Ibrahim Salah,,Away,Ahmed Shokry,Free kick,,2015-2016
2015165,Shemeles Bekele,,Home,Ahmed Gaafar,Pass,,2015-2016
2015165,Ahmed Gaafar,,Home,Mohamed Ragab,Pass,,2015-2016
2015166,Salah Ashour,,Home,Mahmoud Kaoud,Pass,,2015-2016
2015166,Hossam Abdel-Aal,,Away,Mohamed Bassiouny,Cross,,2015-2016
2015166,Salah Rico,,Away,Akram Tawfik,Handball ,1,2015-2016
2015166,Mohamed Bassiouny,,Away,,Unknown,,2015-2016
2015167,Mostafa Galal,,Away,Florent Malouda,Free kick,,2015-2016
2015167,Stanley Ohawuchi,,Away,Junior Mapuku,Cross,,2015-2016
2015168,Said Mourad,,Away,,Unknown,,2015-2016
2015168,Nana Poku,,Home,Mido Gaber,Unknown,,2015-2016
2015168,Amr Barakat,,Home,Omar Najdi,Pass,,2015-2016
2015168,Ahmed Gomaa,,Away,Ahmed Raouf,Throw-in,,2015-2016
